Name,Fund/Org,Tier,Thesis_Fit,Connection,Est_Check_USD,SPIRIT_Tokens,Percent_of_Presale,Status,Meeting_Date,Notes
Ryan Selkis,Messari,7-Narrative,Crypto media/data,Cold,75000,1875000,3.75%,Not contacted,,Influential - controversial
Andrew Wang,Investor/Curator,8-Cultural,Art + crypto,Cold,50000,1250000,2.5%,Not contacted,,@andrewxwang
Seedphrase,Flamingo/Collector,8-Cultural,Gen art collector,Via Flamingo,50000,1250000,2.5%,Not contacted,,Deep collector
Erick Calderon,Art Blocks,8-Cultural,Gen art platform,Via Snowfro,100000,2500000,5.0%,Not contacted,,Art Blocks founder
Peter Watts,Art Blocks/Collector,8-Cultural,Gen art,Via Art Blocks,50000,1250000,2.5%,Not contacted,,Collector + advisor
Dmitri Cherniak,Artist/Angel,8-Cultural,Generative artist,Via Kim/Tyler,75000,1875000,3.75%,Not contacted,,Ringers - artist investor
XCOPY,Artist/Angel,8-Cultural,Crypto art OG,Cold,100000,2500000,5.0%,Not contacted,,Major artist - invests
Beeple,Artist/Network,8-Cultural,Network hub,Cold,100000,2500000,5.0%,Not contacted,,Massive reach
Mondoir,Collector/Curator,8-Cultural,Curation,Cold,50000,1250000,2.5%,Not contacted,,Taste-maker
Alex Atallah,OpenSea,9-Builder,NFT infra,Cold,100000,2500000,5.0%,Not contacted,,OpenSea co-founder
Devin Finzer,OpenSea,9-Builder,NFT infra,Cold,100000,2500000,5.0%,Not contacted,,OpenSea CEO
Jesse Pollak,Base,9-Builder,Base L2,Via Coinbase Ventures,150000,3750000,7.5%,Not contacted,,Base lead - critical
Austin Federa,Solana Foundation,9-Builder,L1 ecosystem,Cold,75000,1875000,3.75%,Not contacted,,Solana comms
Anatoly Yakovenko,Solana,9-Builder,L1 founder,Cold,100000,2500000,5.0%,Not contacted,,Solana co-founder
Avery Ching,Aptos,9-Builder,L1 founder,Cold,75000,1875000,3.75%,Not contacted,,Aptos CTO
Evan Cheng,Mysten/Sui,9-Builder,L1 founder,Cold,75000,1875000,3.75%,Not contacted,,Sui founder
Laura Shin,Unchained,10-Media,Crypto media,Cold,25000,625000,1.25%,Not contacted,,Podcast reach
Packy McCormick,Not Boring,10-Media,Tech/crypto writing,Cold,50000,1250000,2.5%,Not contacted,,Newsletter influence
Ryan Sean Adams,Bankless,10-Media,Crypto media,Cold,50000,1250000,2.5%,Not contacted,,Bankless co-host
Cobie,UpOnly,10-Media,CT influence,Cold,75000,1875000,3.75%,Not contacted,,Massive CT reach
DCinvestor,Angel/Commentator,10-Media,ETH ecosystem,Cold,50000,1250000,2.5%,Not contacted,,Long-form influence
Heritage DAO,DAO,11-DAO,Collector DAO,Cold,75000,1875000,3.75%,Not contacted,,Writes checks as cohort
Fingerprints DAO,DAO,11-DAO,Gen art DAO,Via fxhash,100000,2500000,5.0%,Not contacted,,On-chain art focus
PleasrDAO,DAO,11-DAO,Culture DAO,Cold,100000,2500000,5.0%,Not contacted,,High-profile acquisitions
Neon DAO,DAO,11-DAO,Gen art DAO,Cold,75000,1875000,3.75%,Not contacted,,Art collector DAO
